Date,Pure Gold (24 k),Standard Gold (22 K)
2019-01-14,3235.0,3088.0
2019-01-15,3238.0,3091.0
2019-01-16,3249.0,3102.0
2019-01-17,3258.0,3111.0
2019-01-18,3240.0,3093.0
2019-01-19,3238.0,3091.0
2019-01-20,3238.0,3091.0
2019-01-21,3227.0,3080.0
2019-01-22,3243.0,3096.0
2019-01-23,3244.0,3097.0
2019-01-24,3236.0,3089.0
2019-01-25,3239.0,3092.0
2019-01-26,3268.0,3121.0
2019-01-27,3268.0,3121.0
2019-01-28,3274.0,3127.0
2019-01-29,3292.0,3145.0
2019-01-30,3308.0,3161.0
2019-01-31,3320.0,3173.0
2019-02-01,3333.0,3186.0
2019-02-02,3341.0,3194.0
2019-02-03,3341.0,3194.0
2019-02-04,3328.0,3181.0
2019-02-05,3328.0,3181.0
2019-02-06,3329.0,3182.0
2019-02-07,3303.0,3156.0
2019-02-08,3297.0,3150.0
2019-02-09,3320.0,3173.0
2019-02-10,3320.0,3173.0
2019-02-11,3297.0,3150.0
2019-02-12,3292.0,3145.0
2019-02-13,3288.0,3141.0
2019-02-14,3292.0,3145.0
2019-02-15,3320.0,3173.0
2019-02-16,3337.0,3190.0
2019-02-17,3337.0,3190.0
2019-02-18,3343.0,3196.0
2019-02-19,3358.0,3211.0
2019-02-20,3373.0,3226.0
2019-02-21,3353.0,3206.0
2019-02-22,3336.0,3189.0
2019-02-23,3347.0,3200.0
2019-02-24,3347.0,3200.0
2019-02-25,3334.0,3187.0
2019-02-26,3329.0,3182.0
2019-02-27,3340.0,3193.0
2019-02-28,3330.0,3183.0
2019-03-01,3284.0,3137.0
2019-03-02,3269.0,3122.0
2019-03-03,3269.0,3122.0
2019-03-04,3255.0,3108.0
2019-03-05,3225.0,3078.0
2019-03-06,3227.0,3080.0
2019-03-07,3206.0,3059.0
2019-03-08,3219.0,3072.0
2019-03-09,3239.0,3092.0
2019-03-10,3239.0,3092.0
2019-03-11,3225.0,3077.0
2019-03-12,3208.0,3060.0
2019-03-13,3235.0,3087.0
2019-03-14,3220.0,3072.0
2019-03-15,3204.0,3056.0
2019-03-16,3207.0,3059.0
2019-03-17,3207.0,3059.0
2019-03-18,3184.0,3036.0
2019-03-19,3198.0,3050.0
2019-03-20,3187.0,3039.0
2019-03-21,3210.0,3062.0
2019-03-22,3209.0,3061.0
2019-03-23,3230.0,3082.0
2019-03-24,3230.0,3082.0
2019-03-25,3215.0,3067.0
2019-03-26,3212.0,3064.0
2019-03-27,3212.0,3064.0
2019-03-28,3197.0,3049.0
2019-03-29,3172.0,3025.0
2019-03-30,3195.0,3048.0
2019-03-31,3195.0,3048.0
2019-04-01,3181.0,3034.0
